leader: 10.0.0.5:6001 (probe applied 1 command)
  batch=1 total=2047.3us LHandler=76.5 LPersist=566.2 AENet=224.6 FHandler=36.7 ReplNet=473.9 StorageIO=362.5 QuorumWait=291.5 Mutex=1.5 CommitWait=1250.7
  batch=1 total=2140.8us LHandler=73.6 LPersist=619.3 AENet=196.5 FHandler=30.4 ReplNet=430.0 StorageIO=320.1 QuorumWait=457.0 Mutex=1.5 CommitWait=1298.6
  batch=1 total=2095.9us LHandler=69.7 LPersist=557.0 AENet=267.5 FHandler=7.0 ReplNet=388.0 StorageIO=295.5 QuorumWait=491.5 Mutex=1.9 CommitWait=1311.2
  batch=1 total=1700.3us LHandler=77.2 LPersist=480.2 AENet=213.1 FHandler=7.1 ReplNet=434.9 StorageIO=303.4 QuorumWait=148.0 Mutex=1.3 CommitWait=972.9
  batch=1 total=1803.6us LHandler=73.7 LPersist=541.2 AENet=243.6 FHandler=7.0 ReplNet=384.0 StorageIO=311.0 QuorumWait=231.4 Mutex=1.2 CommitWait=1059.8
  batch=1 total=1947.2us LHandler=76.8 LPersist=621.2 AENet=199.4 FHandler=7.1 ReplNet=441.6 StorageIO=364.0 QuorumWait=224.2 Mutex=1.4 CommitWait=1063.8
  batch=1 total=1835.7us LHandler=71.5 LPersist=565.9 AENet=282.9 FHandler=6.5 ReplNet=238.1 StorageIO=316.6 QuorumWait=339.2 Mutex=1.6 CommitWait=1048.0
  batch=1 total=2224.4us LHandler=75.7 LPersist=591.0 AENet=245.9 FHandler=7.2 ReplNet=455.8 StorageIO=369.7 QuorumWait=465.9 Mutex=1.3 CommitWait=1403.5
  batch=1 total=2002.1us LHandler=74.9 LPersist=476.0 AENet=274.0 FHandler=7.0 ReplNet=355.7 StorageIO=368.2 QuorumWait=431.4 Mutex=1.5 CommitWait=1296.6
  batch=1 total=2227.6us LHandler=76.1 LPersist=583.8 AENet=267.2 FHandler=7.0 ReplNet=489.2 StorageIO=344.4 QuorumWait=447.3 Mutex=1.5 CommitWait=1416.0
  batch=1 total=1914.6us LHandler=73.6 LPersist=580.6 AENet=144.6 FHandler=7.0 ReplNet=452.7 StorageIO=343.5 QuorumWait=301.4 Mutex=1.5 CommitWait=1102.3
  batch=1 total=2070.9us LHandler=72.3 LPersist=546.2 AENet=270.0 FHandler=7.1 ReplNet=430.3 StorageIO=322.1 QuorumWait=410.3 Mutex=1.4 CommitWait=1315.0
  batch=1 total=2061.6us LHandler=75.8 LPersist=558.4 AENet=257.6 FHandler=7.0 ReplNet=409.0 StorageIO=367.9 QuorumWait=371.2 Mutex=1.4 CommitWait=1270.7
